TARGET80	-2065.761	-342.444	79.726	0.028	0.018	0.024	0.000
TARGET81	-1849.861	-281.685	382.477	0.028	0.017	0.023	0.000
TARGET82	-2179.963	-240.052	-118.922	0.028	0.018	0.023	0.000
TARGET83	-1989.581	-183.950	144.642	0.027	0.017	0.022	0.000
TARGET84	-2086.922	-11.638	-46.666	0.027	0.018	0.023	0.000
TARGET85	-2000.988	59.372	67.287	0.028	0.019	0.024	0.000
TARGET86	-2020.594	81.010	33.521	0.025	0.017	0.022	0.000
TARGET88	-2072.687	-223.005	28.191	0.026	0.017	0.023	0.000
TARGET89	-1957.767	-180.238	195.420	0.025	0.017	0.022	0.000
TARGET90	-2018.271	-140.070	86.608	0.025	0.017	0.023	0.000
TARGET91	-2134.991	-125.912	-88.710	0.025	0.017	0.023	0.000
TARGET92	-1933.830	221.975	149.575	0.027	0.019	0.024	0.000
TARGET93	-2023.397	487.193	-1.359	0.032	0.023	0.027	0.000
TARGET94	-2112.150	507.128	-162.932	0.025	0.020	0.023	0.000
TARGET95	-2096.982	345.186	-106.477	0.026	0.019	0.024	0.000
TARGET96	-1959.098	458.267	97.287	0.027	0.020	0.025	0.000
TARGET99	-1978.618	-368.941	231.097	0.027	0.017	0.023	0.000
TARGET100	-1898.614	-363.588	326.829	0.029	0.018	0.024	0.000
TARGET101	-1975.862	-276.406	198.324	0.028	0.017	0.023	0.000
TARGET102	-1911.348	-192.061	278.912	0.030	0.018	0.023	0.000
TARGET103	-1956.484	-113.985	177.920	0.026	0.017	0.023	0.000
TARGET104	-1941.743	-17.680	177.771	0.030	0.019	0.024	0.000
TARGET106	-1895.240	3.179	251.550	0.025	0.018	0.024	0.000
TARGET107	-1932.191	95.237	170.567	0.029	0.019	0.023	0.000
TARGET108	-1811.013	-183.980	420.499	0.029	0.018	0.023	0.000
TARGET109	-2330.702	-144.784	-332.502	0.026	0.018	0.025	0.000
TARGET110	-2334.729	38.690	-373.796	0.026	0.017	0.024	0.000
TARGET111	-2241.417	345.170	-294.102	0.026	0.019	0.025	0.000
TARGET112	-2378.868	7.495	-437.943	0.044	0.038	0.055	0.000
TARGET113	-1711.322	44.197	509.969	0.031	0.023	0.029	0.000
TARGET114	-2303.082	201.802	-358.091	0.029	0.019	0.026	0.000
TARGET115	-2248.339	-350.966	-172.571	0.028	0.018	0.026	0.000
TARGET116	-2218.452	559.978	-339.437	0.029	0.028	0.037	0.000
TARGET117	-2271.137	-19.015	-289.399	0.030	0.020	0.029	0.000
TARGET118	-2220.722	-245.978	-171.185	0.031	0.018	0.024	0.000
TARGET119	-1917.004	-98.808	239.979	0.032	0.019	0.025	0.000
TARGET120	-2282.691	-476.453	-225.665	0.041	0.031	0.044	0.000
TARGET122	-2038.833	102.673	2.268	0.029	0.020	0.026	0.000
TARGET123	-1882.372	-226.008	344.381	0.030	0.018	0.023	0.000
TARGET124	-1919.578	4.937	209.551	0.030	0.019	0.024	0.000
TARGET125	-1869.673	-60.144	313.055	0.030	0.018	0.023	0.000
TARGET126	-1869.504	-26.718	304.509	0.031	0.019	0.024	0.000
TARGET127	-1893.087	87.826	237.967	0.030	0.020	0.024	0.000
TARGET128	-1835.194	-155.595	410.024	0.029	0.018	0.024	0.000
TARGET129	-1857.793	75.422	302.908	0.030	0.019	0.023	0.000
TARGET130	-1869.821	193.971	262.175	0.032	0.020	0.023	0.000
TARGET131	-1784.295	-81.911	439.725	0.030	0.018	0.023	0.000
